"hod","avg_TT","cat"
0,15.0382009357036,"Weekend"
1,14.3157456042783,"Weekend"
2,13.8680401216644,"Weekend"
3,13.7144488119757,"Weekend"
4,13.1188841527119,"Weekend"
5,12.7308933644572,"Weekend"
6,12.8127884635902,"Weekend"
7,12.5576355224778,"Weekend"
8,12.7806528941521,"Weekend"
9,13.8065962077008,"Weekend"
10,14.7293870456635,"Weekend"
11,15.6974731802277,"Weekend"
12,16.027454962048,"Weekend"
13,15.7092034802493,"Weekend"
14,15.334366858885,"Weekend"
15,15.2690379762828,"Weekend"
16,15.40321253851,"Weekend"
17,15.8003684838976,"Weekend"
18,15.6860872647854,"Weekend"
19,14.4852742834744,"Weekend"
20,13.7536449432361,"Weekend"
21,14.4478734477371,"Weekend"
22,15.2680629247845,"Weekend"
23,15.3435398780657,"Weekend"
0,14.0323584188278,"Weekday"
1,13.441220913342,"Weekday"
2,12.3200926289922,"Weekday"
3,13.0531698225028,"Weekday"
4,14.0539702538609,"Weekday"
5,14.8119470116903,"Weekday"
6,17.029967282631,"Weekday"
7,20.2108192431851,"Weekday"
8,21.8686342792937,"Weekday"
9,18.486566145232,"Weekday"
10,17.2955054216076,"Weekday"
11,17.1935525565227,"Weekday"
12,17.3441463807814,"Weekday"
13,17.2430919377746,"Weekday"
14,18.2290992903867,"Weekday"
15,20.9007597807462,"Weekday"
16,21.4855172066528,"Weekday"
17,22.3066257591941,"Weekday"
18,18.7321063677072,"Weekday"
19,15.8878276381098,"Weekday"
20,15.2839207958158,"Weekday"
21,15.6656515660933,"Weekday"
22,15.4595556412749,"Weekday"
23,14.8530924963706,"Weekday"
