"dow","day_name","hourB","avg_TT","day_name_abb","dow_HB"
0,"Monday","0 - 7",11.7546329675479,"Mon","Mon 0 - 7"
0,"Monday","10 - 16",11.3487581771659,"Mon","Mon 10 - 16"
0,"Monday","16 - 19",11.2685154003171,"Mon","Mon 16 - 19"
0,"Monday","19 - 0",9.12307576584618,"Mon","Mon 19 - 0"
0,"Monday","7 - 10",12.456529678317,"Mon","Mon 7 - 10"
1,"Tuesday","0 - 7",11.754471818106,"Tue","Tue 0 - 7"
1,"Tuesday","10 - 16",11.9339102732894,"Tue","Tue 10 - 16"
1,"Tuesday","16 - 19",11.8992102996545,"Tue","Tue 16 - 19"
1,"Tuesday","19 - 0",9.72644629784876,"Tue","Tue 19 - 0"
1,"Tuesday","7 - 10",12.7353340196733,"Tue","Tue 7 - 10"
2,"Wednesday","0 - 7",11.887063679321,"Wed","Wed 0 - 7"
2,"Wednesday","10 - 16",12.0708099052669,"Wed","Wed 10 - 16"
2,"Wednesday","16 - 19",12.5693327789627,"Wed","Wed 16 - 19"
2,"Wednesday","19 - 0",10.3733566299188,"Wed","Wed 19 - 0"
2,"Wednesday","7 - 10",12.4281956388165,"Wed","Wed 7 - 10"
3,"Thursday","0 - 7",10.5170485360891,"Thu","Thu 0 - 7"
3,"Thursday","10 - 16",12.6263687592607,"Thu","Thu 10 - 16"
3,"Thursday","16 - 19",13.3960879855411,"Thu","Thu 16 - 19"
3,"Thursday","19 - 0",10.4938982685291,"Thu","Thu 19 - 0"
3,"Thursday","7 - 10",13.4635921789794,"Thu","Thu 7 - 10"
4,"Friday","0 - 7",9.70019731082535,"Fri","Fri 0 - 7"
4,"Friday","10 - 16",13.3682828879833,"Fri","Fri 10 - 16"
4,"Friday","16 - 19",13.8513384012861,"Fri","Fri 16 - 19"
4,"Friday","19 - 0",11.3249281761445,"Fri","Fri 19 - 0"
4,"Friday","7 - 10",11.7422117194881,"Fri","Fri 7 - 10"
5,"Saturday","0 - 7",10.5915239399211,"Sat","Sat 0 - 7"
5,"Saturday","10 - 16",12.2222221432177,"Sat","Sat 10 - 16"
5,"Saturday","16 - 19",11.1182149075721,"Sat","Sat 16 - 19"
5,"Saturday","19 - 0",11.9163039412405,"Sat","Sat 19 - 0"
5,"Saturday","7 - 10",9.06351747407698,"Sat","Sat 7 - 10"
6,"Sunday","0 - 7",11.9577542439623,"Sun","Sun 0 - 7"
6,"Sunday","10 - 16",11.7845973606145,"Sun","Sun 10 - 16"
6,"Sunday","16 - 19",10.0975087444529,"Sun","Sun 16 - 19"
6,"Sunday","19 - 0",10.0499873181153,"Sun","Sun 19 - 0"
6,"Sunday","7 - 10",8.71167597360988,"Sun","Sun 7 - 10"
